iter	RMSE
0	334784.4697
1	312120.4402
2	291506.6787
3	273265.8904
4	256743.5931
5	242189.6143
6	228330.7607
7	216091.6735
8	205746.2477
9	196685.2923
10	188621.1847
11	180217.0008
12	172835.4083
13	166088.2559
14	160802.8509
15	155839.2883
16	150968.1632
17	147089.4105
18	143818.1962
19	140575.3398
20	138054.7876
21	135346.5977
22	132946.5551
23	130190.1424
24	128098.4458
25	125632.3495
26	124024.248
27	122578.1607
28	121290.0457
29	120318.9098
30	118774.8189
31	117708.7585
32	116716.4224
33	115415.7632
34	114473.5638
35	113823.0397
36	113049.3833
37	112369.3042
38	111816.2596
39	111095.5106
40	110444.6273
41	109247.2911
42	108707.412
43	108222.7736
44	107295.0981
45	106656.7864
46	106176.3922
47	105795.2734
48	105397.0455
49	104930.9693
50	104587.6918
51	104100.6717
52	103234.7788
53	102523.8688
54	102227.3499
55	101779.3368
56	101247.5088
57	100822.3894
58	100622.8887
59	100198.7127
60	99984.00689
61	99640.72498
62	99151.81946
63	98760.6835
64	98396.71917
65	97965.05091
66	97608.49474
67	97336.40276
68	96832.04512
69	96662.13989
70	96388.82241
71	95994.52018
72	95853.56706
73	95538.95545
74	95215.62808
75	94808.218
76	94368.70823
77	94173.21315
78	93928.21168
79	93649.96819
