iter	Passed	Remaining
0	25	2029
1	41	1635
2	53	1372
3	66	1264
4	78	1170
5	91	1128
6	103	1077
7	114	1032
8	127	1002
9	137	963
10	148	930
11	158	896
12	169	873
13	180	851
14	192	835
15	203	814
16	215	797
17	228	787
18	239	769
19	250	750
20	261	735
21	271	716
22	279	693
23	285	666
24	290	639
25	294	611
26	297	584
27	300	558
28	305	537
29	308	514
30	311	492
31	316	474
32	321	457
33	326	442
34	333	428
35	340	416
36	348	404
37	355	393
38	361	379
39	367	367
40	373	354
41	379	343
42	386	332
43	393	322
44	401	312
45	409	302
46	419	294
47	429	286
48	437	276
49	445	267
50	450	256
51	456	245
52	464	236
53	472	227
54	480	218
55	490	210
56	501	202
57	511	194
58	522	186
59	531	177
60	542	168
61	553	160
62	565	152
63	576	144
64	585	135
65	595	126
66	604	117
67	613	108
68	623	99
69	631	90
70	640	81
71	648	72
72	656	62
73	663	53
74	672	44
75	680	35
76	690	26
77	699	17
78	708	8
79	717	0
